iter	Passed	Remaining
0	0	41
1	0	37
2	1	37
3	1	34
4	1	34
5	2	33
6	2	34
7	2	33
8	3	33
9	3	33
10	4	33
11	4	33
12	4	32
13	5	32
14	5	32
15	6	31
16	6	31
17	6	31
18	7	30
19	7	30
20	8	30
21	8	30
22	11	38
23	11	37
24	12	37
25	12	36
26	15	41
27	15	40
28	16	40
29	16	39
30	17	38
31	17	37
32	18	37
33	18	36
34	19	35
35	19	35
36	20	34
37	20	33
38	21	33
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	24	30
45	25	29
46	26	30
47	27	30
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	31	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	36	20
64	36	19
65	37	19
66	37	18
67	37	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	42	12
78	43	11
79	44	11
80	44	10
81	44	9
82	44	9
83	45	8
84	45	8
85	45	7
86	46	6
87	46	6
88	46	5
89	47	5
90	47	4
91	48	4
92	48	3
93	49	3
94	49	2
95	49	2
96	50	1
97	51	1
98	51	0
99	51	0
